I;H;S;output
40.66666667;2.075363875;0.385245902;0
45;2.354813273;0.422222222;0
72;1.668524617;0.347222222;0
60.33333333;2.713923571;0.419889503;0
60.33333333;3.050683355;0.419889503;0
110.3333333;2.561451244;0.447129909;0
91.66666667;2.489103155;0.247272727;0
89;2.587616369;0.314606742;0
72.33333333;2.682056127;0.516129032;0
69.33333333;2.738578281;0.625;0
65.33333333;2.856047234;0.602040816;0
86.33333333;2.751227626;0.698841699;0
118.3333333;1.787292224;0.154929577;0
122.3333333;1.861672108;0.182561308;0
98.66666667;1.491329508;0.614864865;0
97.33333333;1.363466618;0.743150685;0
122.3333333;1.861672108;0.182561308;0
110;1.513757688;0.427272727;0
118.3333333;1.787292224;0.154929577;0
100;3.048739418;0.31;0
104;2.868187784;0.336538462;0
100;3.048739418;0.31;0
103.6666667;1.488503984;0.035369775;0
120.6666667;2.574447819;0.428176796;0
95.66666667;2.769987076;0.278745645;0
97.33333333;3.062307334;0.373287671;0
64.66666667;1.681757151;0.412371134;0
64.66666667;1.681757151;0.412371134;0
65.33333333;0.235377065;0.234693878;0
59.33333333;0.493221267;0.157303371;0
53.66666667;1.881179593;0.068322981;0
53.66666667;1.881179593;0.068322981;0
49.66666667;0.638559696;0.053691275;0
74.66666667;0.605891119;0.049107143;0
62;2.395804253;0.161290323;0
66;2.978107681;0.212121212;0
113.3333333;2.094395102;0.161764706;0
88.33333333;1.314151669;0.286792453;0
109.3333333;2.094395102;0.131097561;0
102;2.729994037;0.401960784;0
105;2.094395102;0.095238095;0
78;1.570796327;0.512820513;0
75;1.699976739;0.493333333;0
56;2.404778368;0.375;0
21.33333333;1.729151875;1;0
34;2.844954957;0.5;0
18.66666667;1.913017007;1;0
21.33333333;1.729151875;1;0
36;2.617993878;0.75;0
65.66666667;2.055050625;0.23857868;0
54.66666667;1.992860126;0.304878049;0
54.66666667;1.992860126;0.304878049;0
48;2.169559785;0.270833333;0
132.3333333;2.281619456;0.214105793;0
133.6666667;2.961252336;0.094763092;0
162.3333333;3.002809087;0.254620123;0
144.3333333;3.098675614;0.279445727;0
143;2.842885604;0.20979021;0
168;2.587074256;0.327380952;0
147.3333333;3.091187304;0.233031674;0
140;2.571215844;0.257142857;0
150.3333333;1.774142922;0.082039911;0
143;2.48553928;0.20979021;0
143;2.48553928;0.20979021;0
147;2.697765046;0.231292517;0
112.3333333;2.191395946;0.154302671;0
140.3333333;2.658629966;0.258907363;0
133.3333333;2.835260946;0.2875;0
108.3333333;1.974923664;0.187692308;0
129.3333333;2.634973136;0.265463918;0
57.33333333;2.788513871;0.546511628;0
53.33333333;2.974193462;0.5125;0
57.33333333;3.068021392;0.546511628;0
71;2.750448476;0.394366197;0
68.33333333;2.808119481;0.487804878;0
139.3333333;2.362933895;0.188995215;0
100.6666667;2.47669607;0.314569536;0
104.6666667;2.676498802;0.340764331;0
98;2.550613536;0.37755102;0
104.6666667;2.676498802;0.340764331;0
97.66666667;2.865409397;0.375426621;0
100.3333333;2.821340473;0.312292359;0
95.33333333;3.064520428;0.548951049;0
123.3333333;2.165698791;0.294594595;0
116.6666667;2.511751113;0.631428571;0
119.6666667;2.470827031;0.56545961;0
106.3333333;2.648371387;0.181818182;0
91.33333333;3.08193763;0.52919708;0
91.66666667;2.931211917;0.530909091;0
97.66666667;2.581925136;0.641638225;0
94.66666667;2.622208089;0.725352113;0
80.66666667;3.053323671;0.566115702;0
77.66666667;3.063529957;0.665236052;0
69.66666667;3.049303236;0.626794258;0
160.6666667;1.676752027;0.221991701;0
156.6666667;1.583917171;0.278723404;0
156.6666667;1.583917171;0.278723404;0
181.6666667;2.857100579;0.141284404;0
160.6666667;1.676752027;0.221991701;0
178.6666667;2.90886966;0.177238806;0
178.6666667;2.90886966;0.177238806;0
72.66666667;3.034706387;0.518348624;0
79.33333333;3.062307334;0.457983193;0
75.33333333;3.0172442;0.42920354;0
79.33333333;3.062307334;0.457983193;0
72.66666667;2.886687001;0.518348624;0
104;2.868187784;0.336538462;0
104;2.868187784;0.336538462;0
98.33333333;3.054587282;0.471186441;0
94.33333333;3.073507079;0.448763251;0
90.66666667;3.052242356;0.426470588;0
57.33333333;3.068021392;0.546511628;0
53.33333333;2.815682878;0.5125;0
49.33333333;3.042939617;0.472972973;0
51.66666667;1.739750879;0.767741935;0
24.66666667;3.094814619;1;0
30.66666667;0.046778034;0.217391304;0
79.66666667;2.700286221;0.460251046;0
90.33333333;1.7074045;0.21402214;0
90.33333333;1.7074045;0.21402214;0
86;1.511141303;0.174418605;0
72;1.748092628;0.180555556;0
62;1.125060126;0.596774194;0
65;0.989526546;0.615384615;0
76;0.786779381;0.342105263;0
93.66666667;2.65406262;0.348754448;0
73;2.146833373;0.164383562;0
98;2.550613536;0.37755102;0
95;2.617993878;0.452631579;0
104.6666667;1.171264691;0.398089172;0
86.33333333;1.827440984;0.27027027;0
69.66666667;1.434188153;0.813397129;0
107.6666667;2.598751244;0.275541796;0
39.66666667;2.84901126;0.773109244;0
36.66666667;2.894793962;1;0
57.33333333;2.475777629;1;0
60.33333333;2.42147703;0.850828729;0
39.66666667;2.84901126;0.773109244;0
43.66666667;3.0750736;0.79389313;0
60.33333333;2.42147703;0.850828729;0
39.33333333;2.971937604;0.771186441;0
72.66666667;3.034706387;0.518348624;0
69.66666667;3.049303236;0.626794258;0
68.33333333;2.808119481;0.487804878;0
93.66666667;2.474646309;0.62633452;0
58.66666667;2.9102511;0.710227273;0
54.33333333;3.079812417;0.687116564;0
65.66666667;3.068945481;0.604060914;0
61.66666667;2.873053861;0.578378378;0
57.33333333;3.068021392;0.546511628;0
74;2.658252366;0.297297297;0
70;2.343166964;0.257142857;0
67;2.48553928;0.358208955;0
43.66666667;3.0750736;0.79389313;0
75.33333333;3.0172442;0.42920354;0
103.3333333;2.488685592;0.496774194;0
78.33333333;2.989308012;0.336170213;0
78.33333333;2.989308012;0.336170213;0
71.33333333;3.040057677;0.397196262;0
47.66666667;2.907084655;0.811188811;0
36.66666667;2.894793962;1;0
110;2.73825154;0.209090909;0
106;2.990811527;0.179245283;0
131;2.398643672;0.335877863;0
93;2.82757827;0.344086022;0
92;2.967653027;0.25;0
93;2.82757827;0.344086022;0
95.66666667;2.769987076;0.278745645;0
126.3333333;2.667958973;0.517150396;0
104;3.026631733;0.336538462;0
101.3333333;3.041724712;0.398026316;0
94.33333333;3.073507079;0.448763251;0
56;2.935722435;0.839285714;0
51.66666667;3.087518831;0.825806452;0
70;2.343166964;0.257142857;0
91.66666667;2.489103155;0.247272727;0
109.3333333;2.094395102;0.131097561;0
105;2.094395102;0.095238095;0
120;2.516458901;0.133333333;0
116.3333333;2.174166271;0.106017192;0
120.3333333;2.152712636;0.135734072;0
113.3333333;2.368213251;0.161764706;0
84;2.233455443;0.488095238;0
87;2.158457352;0.402298851;0
96.66666667;2.116042356;0.286206897;0
97;2.007139904;0.391752577;0
92.66666667;1.994032807;0.363309353;0
96.66666667;2.116042356;0.286206897;0
97;2.007139904;0.391752577;0
127.6666667;2.525879256;0.18537859;0
148.6666667;2.498287648;0.30044843;0
127.6666667;2.525879256;0.18537859;0
123.6666667;2.678692934;0.15902965;0
148.6666667;2.498287648;0.30044843;0
96.66666667;2.116042356;0.286206897;0
90;2.075152469;0.344444444;0
98.33333333;2.183439978;0.379661017;0
91;2.278222422;0.428571429;0
101;2.016532528;0.415841584;0
98.33333333;2.07933493;0.4;0
98.66666667;2.675664883;0.209459459;0
88;2.617993878;0.215909091;0
113;2.507884602;0.389380531;0
67;2.95146705;0.358208955;0
63;3.026631733;0.317460317;0
45;2.874638535;0.422222222;0
47.66666667;0.054073822;0.244755245;0
41;3.026631733;0.365853659;0
59;2.860557752;0.271186441;0
84;2.385270884;0.488095238;0
62.33333333;0.320252181;0.197860963;0
77;2.503032957;0.545454545;0
62.33333333;0.320252181;0.197860963;0
59;2.860557752;0.271186441;0
70;2.890411825;0.257142857;0
48;2.761341447;0.270833333;0
73;2.146833373;0.164383562;0
59;2.860557752;0.271186441;0
37;2.700286221;0.297297297;0
44;2.209356023;0.204545455;0
69;2.217487538;0.492753623;0
48;2.761341447;0.270833333;0
29;2.012102759;0.137931034;0
75.66666667;2.503032957;0.431718062;0
82.66666667;2.627458354;0.370967742;0
98.33333333;2.183439978;0.379661017;0
94;2.197130391;0.35106383;0
144.6666667;1.096644379;0.564516129;1
118.3333333;1.212616693;0.467605634;1
122.3333333;1.239935593;0.386920981;1
114.3333333;1.092155569;0.448979592;1
121.3333333;1.11636905;0.480769231;1
124.6666667;2.139548325;0.165775401;1
120.3333333;2.152712636;0.135734072;1
124.6666667;2.139548325;0.165775401;1
124.6666667;2.139548325;0.165775401;1
132.3333333;2.281619456;0.214105793;1
118.6666667;2.522064185;0.047752809;1
