R;G;B;I;H;S;output
26;71;25;40.66666667;2.075363875;0.385245902;0
26;71;38;45;2.354813273;0.422222222;0
69;47;100;72;1.668524617;0.347222222;0
35;83;63;60.33333333;2.713923571;0.419889503;0
35;71;75;60.33333333;3.050683355;0.419889503;0
61;107;163;110.3333333;2.561451244;0.447129909;0
69;118;88;91.66666667;2.489103155;0.247272727;0
61;118;88;89;2.587616369;0.314606742;0
35;107;75;72.33333333;2.682056127;0.516129032;0
26;107;75;69.33333333;2.738578281;0.625;0
26;95;75;65.33333333;2.856047234;0.602040816;0
26;95;138;86.33333333;2.751227626;0.698841699;0
113;142;100;118.3333333;1.787292224;0.154929577;0
113;154;100;122.3333333;1.861672108;0.182561308;0
104;154;38;98.66666667;1.491329508;0.614864865;0
113;154;25;97.33333333;1.363466618;0.743150685;0
113;154;100;122.3333333;1.861672108;0.182561308;0
113;154;63;110;1.513757688;0.427272727;0
113;142;100;118.3333333;1.787292224;0.154929577;0
69;118;113;100;3.048739418;0.31;0
69;130;113;104;2.868187784;0.336538462;0
69;118;113;100;3.048739418;0.31;0
104;107;100;103.6666667;1.488503984;0.035369775;0
69;118;175;120.6666667;2.574447819;0.428176796;0
69;118;100;95.66666667;2.769987076;0.278745645;0
61;118;113;97.33333333;3.062307334;0.373287671;0
61;95;38;64.66666667;1.681757151;0.412371134;0
61;95;38;64.66666667;1.681757151;0.412371134;0
87;59;50;65.33333333;0.235377065;0.234693878;0
69;59;50;59.33333333;0.493221267;0.157303371;0
52;59;50;53.66666667;1.881179593;0.068322981;0
52;59;50;53.66666667;1.881179593;0.068322981;0
52;47;50;49.66666667;0.638559696;0.053691275;0
78;71;75;74.66666667;0.605891119;0.049107143;0
52;59;75;62;2.395804253;0.161290323;0
52;71;75;66;2.978107681;0.212121212;0
95;95;150;113.3333333;2.094395102;0.161764706;0
95;107;63;88.33333333;1.314151669;0.286792453;0
95;95;138;109.3333333;2.094395102;0.131097561;0
61;107;138;102;2.729994037;0.401960784;0
95;95;125;105;2.094395102;0.095238095;0
78;118;38;78;1.570796327;0.512820513;0
69;118;38;75;1.699976739;0.493333333;0
35;83;50;56;2.404778368;0.375;0
17;47;0;21.33333333;1.729151875;1;0
17;47;38;34;2.844954957;0.5;0
9;47;0;18.66666667;1.913017007;1;0
17;47;0;21.33333333;1.729151875;1;0
9;36;63;36;2.617993878;0.75;0
52;95;50;65.66666667;2.055050625;0.23857868;0
43;83;38;54.66666667;1.992860126;0.304878049;0
43;83;38;54.66666667;1.992860126;0.304878049;0
35;71;38;48;2.169559785;0.270833333;0
104;118;175;132.3333333;2.281619456;0.214105793;0
121;142;138;133.6666667;2.961252336;0.094763092;0
121;178;188;162.3333333;3.002809087;0.254620123;0
104;166;163;144.3333333;3.098675614;0.279445727;0
113;166;150;143;2.842885604;0.20979021;0
113;166;225;168;2.587074256;0.327380952;0
113;166;163;147.3333333;3.091187304;0.233031674;0
104;178;138;140;2.571215844;0.257142857;0
147;166;138;150.3333333;1.774142922;0.082039911;0
113;178;138;143;2.48553928;0.20979021;0
113;178;138;143;2.48553928;0.20979021;0
113;178;150;147;2.697765046;0.231292517;0
95;142;100;112.3333333;2.191395946;0.154302671;0
104;142;175;140.3333333;2.658629966;0.258907363;0
95;142;163;133.3333333;2.835260946;0.2875;0
95;142;88;108.3333333;1.974923664;0.187692308;0
95;130;163;129.3333333;2.634973136;0.265463918;0
26;83;63;57.33333333;2.788513871;0.546511628;0
26;71;63;53.33333333;2.974193462;0.5125;0
26;71;75;57.33333333;3.068021392;0.546511628;0
43;95;75;71;2.750448476;0.394366197;0
35;95;75;68.33333333;2.808119481;0.487804878;0
113;130;175;139.3333333;2.362933895;0.188995215;0
69;95;138;100.6666667;2.47669607;0.314569536;0
69;107;138;104.6666667;2.676498802;0.340764331;0
61;95;138;98;2.550613536;0.37755102;0
69;107;138;104.6666667;2.676498802;0.340764331;0
61;107;125;97.66666667;2.865409397;0.375426621;0
69;107;125;100.3333333;2.821340473;0.312292359;0
43;118;125;95.33333333;3.064520428;0.548951049;0
87;95;188;123.3333333;2.165698791;0.294594595;0
43;107;200;116.6666667;2.511751113;0.631428571;0
52;107;200;119.6666667;2.470827031;0.56545961;0
87;107;125;106.3333333;2.648371387;0.181818182;0
43;118;113;91.33333333;3.08193763;0.52919708;0
43;107;125;91.66666667;2.931211917;0.530909091;0
35;95;163;97.66666667;2.581925136;0.641638225;0
26;95;163;94.66666667;2.622208089;0.725352113;0
35;107;100;80.66666667;3.053323671;0.566115702;0
26;107;100;77.66666667;3.063529957;0.665236052;0
26;95;88;69.66666667;3.049303236;0.626794258;0
156;201;125;160.6666667;1.676752027;0.221991701;0
156;201;113;156.6666667;1.583917171;0.278723404;0
156;201;113;156.6666667;1.583917171;0.278723404;0
156;201;188;181.6666667;2.857100579;0.141284404;0
156;201;125;160.6666667;1.676752027;0.221991701;0
147;201;188;178.6666667;2.90886966;0.177238806;0
147;201;188;178.6666667;2.90886966;0.177238806;0
35;95;88;72.66666667;3.034706387;0.518348624;0
43;95;100;79.33333333;3.062307334;0.457983193;0
43;95;88;75.33333333;3.0172442;0.42920354;0
43;95;100;79.33333333;3.062307334;0.457983193;0
35;83;100;72.66666667;2.886687001;0.518348624;0
69;130;113;104;2.868187784;0.336538462;0
69;130;113;104;2.868187784;0.336538462;0
52;118;125;98.33333333;3.054587282;0.471186441;0
52;118;113;94.33333333;3.073507079;0.448763251;0
52;107;113;90.66666667;3.052242356;0.426470588;0
26;71;75;57.33333333;3.068021392;0.546511628;0
26;59;75;53.33333333;2.815682878;0.5125;0
26;59;63;49.33333333;3.042939617;0.472972973;0
43;12;100;51.66666667;1.739750879;0.767741935;0
0;36;38;24.66666667;3.094814619;1;0
43;24;25;30.66666667;0.046778034;0.217391304;0
43;83;113;79.66666667;2.700286221;0.460251046;0
87;71;113;90.33333333;1.7074045;0.21402214;0
87;71;113;90.33333333;1.7074045;0.21402214;0
87;71;100;86;1.511141303;0.174418605;0
69;59;88;72;1.748092628;0.180555556;0
78;83;25;62;1.125060126;0.596774194;0
87;83;25;65;0.989526546;0.615384615;0
95;83;50;76;0.786779381;0.342105263;0
61;95;125;93.66666667;2.65406262;0.348754448;0
61;95;63;73;2.146833373;0.164383562;0
61;95;138;98;2.550613536;0.37755102;0
