R;G;B;I;output
26;71;25;40.66666667;0
26;71;38;45;0
69;47;100;72;0
35;83;63;60.33333333;0
35;71;75;60.33333333;0
61;107;163;110.3333333;0
69;118;88;91.66666667;0
61;118;88;89;0
35;107;75;72.33333333;0
26;107;75;69.33333333;0
26;95;75;65.33333333;0
26;95;138;86.33333333;0
113;142;100;118.3333333;0
113;154;100;122.3333333;0
104;154;38;98.66666667;0
113;154;25;97.33333333;0
113;154;100;122.3333333;0
113;154;63;110;0
113;142;100;118.3333333;0
69;118;113;100;0
69;130;113;104;0
69;118;113;100;0
104;107;100;103.6666667;0
69;118;175;120.6666667;0
69;118;100;95.66666667;0
61;118;113;97.33333333;0
61;95;38;64.66666667;0
61;95;38;64.66666667;0
87;59;50;65.33333333;0
69;59;50;59.33333333;0
52;59;50;53.66666667;0
52;59;50;53.66666667;0
52;47;50;49.66666667;0
78;71;75;74.66666667;0
52;59;75;62;0
52;71;75;66;0
95;95;150;113.3333333;0
95;107;63;88.33333333;0
95;95;138;109.3333333;0
61;107;138;102;0
95;95;125;105;0
78;118;38;78;0
69;118;38;75;0
35;83;50;56;0
17;47;0;21.33333333;0
17;47;38;34;0
9;47;0;18.66666667;0
17;47;0;21.33333333;0
9;36;63;36;0
52;95;50;65.66666667;0
43;83;38;54.66666667;0
43;83;38;54.66666667;0
35;71;38;48;0
104;118;175;132.3333333;0
121;142;138;133.6666667;0
121;178;188;162.3333333;0
104;166;163;144.3333333;0
113;166;150;143;0
113;166;225;168;0
113;166;163;147.3333333;0
104;178;138;140;0
147;166;138;150.3333333;0
113;178;138;143;0
113;178;138;143;0
113;178;150;147;0
95;142;100;112.3333333;0
104;142;175;140.3333333;0
95;142;163;133.3333333;0
95;142;88;108.3333333;0
95;130;163;129.3333333;0
26;83;63;57.33333333;0
26;71;63;53.33333333;0
26;71;75;57.33333333;0
43;95;75;71;0
35;95;75;68.33333333;0
113;130;175;139.3333333;0
69;95;138;100.6666667;0
69;107;138;104.6666667;0
61;95;138;98;0
69;107;138;104.6666667;0
61;107;125;97.66666667;0
69;107;125;100.3333333;0
43;118;125;95.33333333;0
87;95;188;123.3333333;0
43;107;200;116.6666667;0
52;107;200;119.6666667;0
87;107;125;106.3333333;0
43;118;113;91.33333333;0
43;107;125;91.66666667;0
35;95;163;97.66666667;0
26;95;163;94.66666667;0
35;107;100;80.66666667;0
26;107;100;77.66666667;0
26;95;88;69.66666667;0
156;201;125;160.6666667;0
156;201;113;156.6666667;0
156;201;113;156.6666667;0
156;201;188;181.6666667;0
156;201;125;160.6666667;0
147;201;188;178.6666667;0
147;201;188;178.6666667;0
35;95;88;72.66666667;0
43;95;100;79.33333333;0
43;95;88;75.33333333;0
43;95;100;79.33333333;0
35;83;100;72.66666667;0
69;130;113;104;0
69;130;113;104;0
52;118;125;98.33333333;0
52;118;113;94.33333333;0
52;107;113;90.66666667;0
26;71;75;57.33333333;0
26;59;75;53.33333333;0
26;59;63;49.33333333;0
43;12;100;51.66666667;0
0;36;38;24.66666667;0
43;24;25;30.66666667;0
43;83;113;79.66666667;0
87;71;113;90.33333333;0
87;71;113;90.33333333;0
87;71;100;86;0
69;59;88;72;0
78;83;25;62;0
87;83;25;65;0
95;83;50;76;0
61;95;125;93.66666667;0
61;95;63;73;0
61;95;138;98;0
52;95;138;95;0
121;130;63;104.6666667;0
78;118;63;86.33333333;0
78;118;13;69.66666667;0
78;107;138;107.6666667;0
9;47;63;39.66666667;0
0;47;63;36.66666667;0
0;47;125;57.33333333;0
9;47;125;60.33333333;0
9;47;63;39.66666667;0
9;59;63;43.66666667;0
9;47;125;60.33333333;0
9;59;50;39.33333333;0
35;95;88;72.66666667;0
