R;G;B;output
26;71;25;0
26;71;38;0
69;47;100;0
35;83;63;0
35;71;75;0
61;107;163;0
69;118;88;0
61;118;88;0
35;107;75;0
26;107;75;0
26;95;75;0
26;95;138;0
113;142;100;0
113;154;100;0
104;154;38;0
113;154;25;0
113;154;100;0
113;154;63;0
113;142;100;0
69;118;113;0
69;130;113;0
69;118;113;0
104;107;100;0
69;118;175;0
69;118;100;0
61;118;113;0
61;95;38;0
61;95;38;0
87;59;50;0
69;59;50;0
52;59;50;0
52;59;50;0
52;47;50;0
78;71;75;0
52;59;75;0
52;71;75;0
95;95;150;0
95;107;63;0
95;95;138;0
61;107;138;0
95;95;125;0
78;118;38;0
69;118;38;0
35;83;50;0
17;47;0;0
17;47;38;0
9;47;0;0
17;47;0;0
9;36;63;0
52;95;50;0
43;83;38;0
43;83;38;0
35;71;38;0
104;118;175;0
121;142;138;0
121;178;188;0
104;166;163;0
113;166;150;0
113;166;225;0
113;166;163;0
104;178;138;0
147;166;138;0
113;178;138;0
113;178;138;0
113;178;150;0
95;142;100;0
104;142;175;0
95;142;163;0
95;142;88;0
95;130;163;0
26;83;63;0
26;71;63;0
26;71;75;0
43;95;75;0
35;95;75;0
113;130;175;0
69;95;138;0
69;107;138;0
61;95;138;0
69;107;138;0
61;107;125;0
69;107;125;0
43;118;125;0
87;95;188;0
43;107;200;0
52;107;200;0
87;107;125;0
43;118;113;0
43;107;125;0
35;95;163;0
26;95;163;0
35;107;100;0
26;107;100;0
26;95;88;0
156;201;125;0
156;201;113;0
156;201;113;0
156;201;188;0
156;201;125;0
147;201;188;0
147;201;188;0
35;95;88;0
43;95;100;0
43;95;88;0
43;95;100;0
35;83;100;0
69;130;113;0
69;130;113;0
52;118;125;0
52;118;113;0
52;107;113;0
26;71;75;0
26;59;75;0
26;59;63;0
43;12;100;0
0;36;38;0
43;24;25;0
43;83;113;0
87;71;113;0
87;71;113;0
87;71;100;0
69;59;88;0
78;83;25;0
87;83;25;0
95;83;50;0
61;95;125;0
61;95;63;0
61;95;138;0
52;95;138;0
121;130;63;0
78;118;63;0
78;118;13;0
78;107;138;0
9;47;63;0
0;47;63;0
0;47;125;0
9;47;125;0
9;47;63;0
9;59;63;0
9;47;125;0
9;59;50;0
35;95;88;0
26;95;88;0
35;95;75;0
35;83;163;0
17;71;88;0
17;71;75;0
26;83;88;0
26;71;88;0
26;71;75;0
52;95;75;0
52;95;63;0
43;95;63;0
9;59;63;0
43;95;88;0
52;95;163;0
52;95;88;0
52;95;88;0
43;83;88;0
9;59;75;0
0;47;63;0
87;130;113;0
87;118;113;0
87;118;188;0
61;118;100;0
69;107;100;0
61;118;100;0
69;118;100;0
61;130;188;0
69;118;125;0
61;118;125;0
52;118;113;0
9;71;88;0
9;71;75;0
52;95;63;0
69;118;88;0
95;95;138;0
95;95;125;0
104;118;138;0
104;107;138;0
104;107;150;0
95;107;138;0
43;59;150;0
52;59;150;0
69;71;150;0
69;59;163;0
69;59;150;0
69;71;150;0
69;59;163;0
